Type,Year,Qtr,Order Type,Proceeding_type,Petitioners_Gender,Children_Involved,Contested,Count
Petitions,2003,1,n/a,Dissolution of marriage,Female,No,,12111
Petitions,2003,1,n/a,Dissolution of marriage,Female,Yes,,19679
Petitions,2003,1,n/a,Dissolution of marriage,Male,No,,7118
Petitions,2003,1,n/a,Dissolution of marriage,Male,Yes,,7089
Petitions,2003,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,76
Petitions,2003,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,13
Petitions,2003,1,n/a,Judicial separation,Female,No,,106
Petitions,2003,1,n/a,Judicial separation,Female,Yes,,87
Petitions,2003,1,n/a,Judicial separation,Male,No,,36
Petitions,2003,1,n/a,Judicial separation,Male,Yes,,10
Petitions,2003,1,n/a,Judicial separation,Unknown/Unspecified,No,,2
Petitions,2003,1,n/a,Nullity of marriage,Female,No,,52
Petitions,2003,1,n/a,Nullity of marriage,Female,Yes,,8
Petitions,2003,1,n/a,Nullity of marriage,Male,No,,33
Petitions,2003,1,n/a,Nullity of marriage,Male,Yes,,2
Petitions,2003,1,n/a,Nullity of marriage,Unknown/Unspecified,No,,1
Petitions,2003,2,n/a,Dissolution of marriage,Female,No,,11159
Petitions,2003,2,n/a,Dissolution of marriage,Female,Yes,,17852
Petitions,2003,2,n/a,Dissolution of marriage,Male,No,,6368
Petitions,2003,2,n/a,Dissolution of marriage,Male,Yes,,6436
Petitions,2003,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,84
Petitions,2003,2,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,4
Petitions,2003,2,n/a,Judicial separation,Female,No,,71
Petitions,2003,2,n/a,Judicial separation,Female,Yes,,83
Petitions,2003,2,n/a,Judicial separation,Male,No,,25
Petitions,2003,2,n/a,Judicial separation,Male,Yes,,16
Petitions,2003,2,n/a,Nullity of marriage,Female,No,,72
Petitions,2003,2,n/a,Nullity of marriage,Female,Yes,,16
Petitions,2003,2,n/a,Nullity of marriage,Male,No,,36
Petitions,2003,2,n/a,Nullity of marriage,Male,Yes,,6
Petitions,2003,3,n/a,Dissolution of marriage,Female,No,,11744
Petitions,2003,3,n/a,Dissolution of marriage,Female,Yes,,18245
Petitions,2003,3,n/a,Dissolution of marriage,Male,No,,6615
Petitions,2003,3,n/a,Dissolution of marriage,Male,Yes,,6551
Petitions,2003,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,95
Petitions,2003,3,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,5
Petitions,2003,3,n/a,Judicial separation,Female,No,,81
Petitions,2003,3,n/a,Judicial separation,Female,Yes,,97
Petitions,2003,3,n/a,Judicial separation,Male,No,,21
Petitions,2003,3,n/a,Judicial separation,Male,Yes,,12
Petitions,2003,3,n/a,Nullity of marriage,Female,No,,62
Petitions,2003,3,n/a,Nullity of marriage,Female,Yes,,8
Petitions,2003,3,n/a,Nullity of marriage,Male,No,,36
Petitions,2003,3,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2003,4,n/a,Dissolution of marriage,Female,No,,10927
Petitions,2003,4,n/a,Dissolution of marriage,Female,Yes,,17433
Petitions,2003,4,n/a,Dissolution of marriage,Male,No,,6445
Petitions,2003,4,n/a,Dissolution of marriage,Male,Yes,,6222
Petitions,2003,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,83
Petitions,2003,4,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2003,4,n/a,Judicial separation,Female,No,,64
Petitions,2003,4,n/a,Judicial separation,Female,Yes,,67
Petitions,2003,4,n/a,Judicial separation,Male,No,,25
Petitions,2003,4,n/a,Judicial separation,Male,Yes,,14
Petitions,2003,4,n/a,Nullity of marriage,Female,No,,56
Petitions,2003,4,n/a,Nullity of marriage,Female,Yes,,18
Petitions,2003,4,n/a,Nullity of marriage,Male,No,,44
Petitions,2003,4,n/a,Nullity of marriage,Male,Yes,,2
Petitions,2004,1,n/a,Dissolution of marriage,Female,No,,12303
Petitions,2004,1,n/a,Dissolution of marriage,Female,Yes,,18446
Petitions,2004,1,n/a,Dissolution of marriage,Male,No,,7328
Petitions,2004,1,n/a,Dissolution of marriage,Male,Yes,,6922
Petitions,2004,1,n/a,Dissolution of marriage,Unknown/Unspecified,No,,77
Petitions,2004,1,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,3
Petitions,2004,1,n/a,Judicial separation,Female,No,,75
Petitions,2004,1,n/a,Judicial separation,Female,Yes,,79
Petitions,2004,1,n/a,Judicial separation,Male,No,,37
Petitions,2004,1,n/a,Judicial separation,Male,Yes,,13
Petitions,2004,1,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2004,1,n/a,Nullity of marriage,Female,No,,49
Petitions,2004,1,n/a,Nullity of marriage,Female,Yes,,13
Petitions,2004,1,n/a,Nullity of marriage,Male,No,,51
Petitions,2004,1,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2004,2,n/a,Dissolution of marriage,Female,No,,11199
Petitions,2004,2,n/a,Dissolution of marriage,Female,Yes,,16622
Petitions,2004,2,n/a,Dissolution of marriage,Male,No,,6640
Petitions,2004,2,n/a,Dissolution of marriage,Male,Yes,,6163
Petitions,2004,2,n/a,Dissolution of marriage,Unknown/Unspecified,No,,65
Petitions,2004,2,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,4
Petitions,2004,2,n/a,Judicial separation,Female,No,,63
Petitions,2004,2,n/a,Judicial separation,Female,Yes,,66
Petitions,2004,2,n/a,Judicial separation,Male,No,,20
Petitions,2004,2,n/a,Judicial separation,Male,Yes,,9
Petitions,2004,2,n/a,Nullity of marriage,Female,No,,54
Petitions,2004,2,n/a,Nullity of marriage,Female,Yes,,17
Petitions,2004,2,n/a,Nullity of marriage,Male,No,,39
Petitions,2004,2,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2004,2,n/a,Nullity of marriage,Unknown/Unspecified,No,,1
Petitions,2004,3,n/a,Dissolution of marriage,Female,No,,11685
Petitions,2004,3,n/a,Dissolution of marriage,Female,Yes,,16929
Petitions,2004,3,n/a,Dissolution of marriage,Male,No,,6831
Petitions,2004,3,n/a,Dissolution of marriage,Male,Yes,,6141
Petitions,2004,3,n/a,Dissolution of marriage,Unknown/Unspecified,No,,46
Petitions,2004,3,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,4
Petitions,2004,3,n/a,Judicial separation,Female,No,,81
Petitions,2004,3,n/a,Judicial separation,Female,Yes,,91
Petitions,2004,3,n/a,Judicial separation,Male,No,,26
Petitions,2004,3,n/a,Judicial separation,Male,Yes,,7
Petitions,2004,3,n/a,Judicial separation,Unknown/Unspecified,No,,1
Petitions,2004,3,n/a,Nullity of marriage,Female,No,,62
Petitions,2004,3,n/a,Nullity of marriage,Female,Yes,,9
Petitions,2004,3,n/a,Nullity of marriage,Male,No,,58
Petitions,2004,3,n/a,Nullity of marriage,Male,Yes,,4
Petitions,2004,4,n/a,Dissolution of marriage,Female,No,,10564
Petitions,2004,4,n/a,Dissolution of marriage,Female,Yes,,15705
Petitions,2004,4,n/a,Dissolution of marriage,Male,No,,6271
Petitions,2004,4,n/a,Dissolution of marriage,Male,Yes,,6008
Petitions,2004,4,n/a,Dissolution of marriage,Unknown/Unspecified,No,,46
Petitions,2004,4,n/a,Dissolution of marriage,Unknown/Unspecified,Yes,,9
Petitions,2004,4,n/a,Judicial separation,Female,No,,70
Petitions,2004,4,n/a,Judicial separation,Female,Yes,,66
Petitions,2004,4,n/a,Judicial separation,Male,No,,18
Petitions,2004,4,n/a,Judicial separation,Male,Yes,,17
Petitions,2004,4,n/a,Nullity of marriage,Female,No,,49
Petitions,2004,4,n/a,Nullity of marriage,Female,Yes,,17
Petitions,2004,4,n/a,Nullity of marriage,Male,No,,48
Petitions,2004,4,n/a,Nullity of marriage,Male,Yes,,2
Petitions,2005,1,n/a,Dissolution of marriage,Female,No,,10138
Petitions,2005,1,n/a,Dissolution of marriage,Female,Yes,,15466
Petitions,2005,1,n/a,Dissolution of marriage,Male,No,,6246
