tahun,kabupaten/kota,bulan,jenis_registrasi,jumlah
2020,Kepulauan Seribu,01,Kelahiran,25
2020,Kepulauan Seribu,02,Kelahiran,31
2020,Kepulauan Seribu,03,Kelahiran,28
2020,Kepulauan Seribu,04,Kelahiran,39
2020,Kepulauan Seribu,05,Kelahiran,40
2020,Kepulauan Seribu,06,Kelahiran,56
2020,Kepulauan Seribu,07,Kelahiran,65
2020,Kepulauan Seribu,08,Kelahiran,48
2020,Kepulauan Seribu,09,Kelahiran,54
2020,Kepulauan Seribu,10,Kelahiran,53
2020,Kepulauan Seribu,11,Kelahiran,50
2020,Kepulauan Seribu,12,Kelahiran,46
2020,Jakarta Selatan,01,Kelahiran,1065
2020,Jakarta Selatan,02,Kelahiran,1518
2020,Jakarta Selatan,03,Kelahiran,1496
2020,Jakarta Selatan,04,Kelahiran,1161
2020,Jakarta Selatan,05,Kelahiran,1867
2020,Jakarta Selatan,06,Kelahiran,3219
2020,Jakarta Selatan,07,Kelahiran,3270
2020,Jakarta Selatan,08,Kelahiran,2553
2020,Jakarta Selatan,09,Kelahiran,2861
2020,Jakarta Selatan,10,Kelahiran,2570
2020,Jakarta Selatan,11,Kelahiran,3166
2020,Jakarta Selatan,12,Kelahiran,2885
2020,Jakarta Timur,01,Kelahiran,1622
2020,Jakarta Timur,02,Kelahiran,2106
2020,Jakarta Timur,03,Kelahiran,2015
2020,Jakarta Timur,04,Kelahiran,1311
2020,Jakarta Timur,05,Kelahiran,2409
2020,Jakarta Timur,06,Kelahiran,5428
2020,Jakarta Timur,07,Kelahiran,5086
2020,Jakarta Timur,08,Kelahiran,3767
2020,Jakarta Timur,09,Kelahiran,4599
2020,Jakarta Timur,10,Kelahiran,3955
2020,Jakarta Timur,11,Kelahiran,4351
2020,Jakarta Timur,12,Kelahiran,5035
2020,Jakarta Pusat,01,Kelahiran,607
2020,Jakarta Pusat,02,Kelahiran,726
2020,Jakarta Pusat,03,Kelahiran,669
2020,Jakarta Pusat,04,Kelahiran,543
2020,Jakarta Pusat,05,Kelahiran,837
2020,Jakarta Pusat,06,Kelahiran,1613
2020,Jakarta Pusat,07,Kelahiran,1468
2020,Jakarta Pusat,08,Kelahiran,1152
2020,Jakarta Pusat,09,Kelahiran,1380
2020,Jakarta Pusat,10,Kelahiran,1176
2020,Jakarta Pusat,11,Kelahiran,1325
2020,Jakarta Pusat,12,Kelahiran,1355
2020,Jakarta Barat,01,Kelahiran,1214
2020,Jakarta Barat,02,Kelahiran,1709
2020,Jakarta Barat,03,Kelahiran,1546
2020,Jakarta Barat,04,Kelahiran,742
